[2025-05-26 10:00:29] [class-ss-archive-creation-job.php:119] Starting a job; no job is presently running
[2025-05-26 10:00:29] [class-ss-archive-creation-job.php:120] Here's our task list: setup, fetch_urls, create_zip_archive, wrapup
[2025-05-26 10:00:29] [class-ss-archive-creation-job.php:138] Pushing first task to queue: setup
[2025-05-26 10:00:34] [class-ss-archive-creation-job.php:194] Current task: setup
[2025-05-26 10:00:34] [class-ss-archive-creation-job.php:208] Performing task: setup
[2025-05-26 10:00:34] [class-ss-task.php:44] Status message: [setup] Setting up
[2025-05-26 10:00:41] [class-ss-setup-task.php:33] Creating archive directory: C:\xampp\htdocs\servicesgrouplocal/wp-content/uploads\simply-static\temp-files/simply-static-1-1748253629\
[2025-05-26 10:00:41] [class-ss-setup-task.php:72] Adding origin URL to queue: http://localhost/servicesgrouplocal/
[2025-05-26 10:00:42] [class-yoast-integration.php:92] Adding sitemap URL to queue: http://localhost/servicesgrouplocal/sitemap.xml
[2025-05-26 10:00:42] [class-yoast-integration.php:92] Adding sitemap URL to queue: http://localhost/servicesgrouplocal/sitemap_index.xml
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/animate.css/animate-config.json
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/animate.css/animate.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/animate.css/animate.min.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/animations/animations.min.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/backbone/backbone.marionette.js
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/backbone/backbone.marionette.min.js
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/backbone/backbone.radio.js
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/backbone/backbone.radio.min.js
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/color-thief/color-thief.min.js
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/dialog/dialog.js
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/dialog/dialog.min.js
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/e-gallery/css/e-gallery.min.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/e-gallery/js/e-gallery.js
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/e-gallery/js/e-gallery.min.js
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/e-select2/css/e-select2.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/e-select2/css/e-select2.min.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/e-select2/js/e-select2.full.js
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/e-select2/js/e-select2.full.min.js
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/eicons/eicons.json
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.svg
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.ttf
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.woff2
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.js
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.min.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/flatpickr/flatpickr.min.js
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/font-awesome/css/svg-with-js.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/font-awesome/css/svg-with-js.min.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/font-awesome/css/v4-shims.min.css
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.eot
[2025-05-26 10:00:42] [class-elementor-integration.php:238] Adding elementor bundle asset to queue: http://localhost/servicesgrouplocal/wp-content/plugins/elementor/assets/lib/font-awesome/fonts/fontawesome-webfont.svg
